siteID,labno,starttime,endtime,amount,type
ME96,NR5017SW,3/17/1998 2:45:00 PM,3/18/1998 5:00:00 AM,0.00, 
ME96,NR5017SW,3/18/1998 5:00:00 AM,3/19/1998 5:00:00 AM,0.00, 
ME96,NR5017SW,3/19/1998 5:00:00 AM,3/20/1998 5:00:00 AM,0.50,m
ME96,NR5017SW,3/20/1998 5:00:00 AM,3/21/1998 5:00:00 AM,0.00, 
ME96,NR5017SW,3/21/1998 5:00:00 AM,3/22/1998 5:00:00 AM,0.10,m
ME96,NR5017SW,3/22/1998 5:00:00 AM,3/23/1998 5:00:00 AM,0.50,m
ME96,NR5017SW,3/23/1998 5:00:00 AM,3/24/1998 5:00:00 AM,0.00, 
ME96,NR5017SW,3/24/1998 5:00:00 AM,3/24/1998 2:50:00 PM,0.00, 
ME96,NR5185SW,3/24/1998 3:18:00 PM,3/25/1998 5:00:00 AM,0.00, 
ME96,NR5185SW,3/25/1998 5:00:00 AM,3/26/1998 5:00:00 AM,-7.00, 
ME96,NR5185SW,3/26/1998 5:00:00 AM,3/27/1998 5:00:00 AM,0.00, 
ME96,NR5185SW,3/27/1998 5:00:00 AM,3/28/1998 5:00:00 AM,0.00, 
ME96,NR5185SW,3/28/1998 5:00:00 AM,3/29/1998 5:00:00 AM,0.00, 
ME96,NR5185SW,3/29/1998 5:00:00 AM,3/30/1998 5:00:00 AM,-7.00, 
ME96,NR5185SW,3/30/1998 5:00:00 AM,3/31/1998 5:00:00 AM,0.00, 
ME96,NR5185SW,3/31/1998 5:00:00 AM,3/31/1998 3:10:00 PM,0.00, 
ME96,NR5494SW,3/31/1998 3:10:00 PM,4/1/1998 5:00:00 AM,0.00, 
ME96,NR5494SW,4/1/1998 5:00:00 AM,4/2/1998 5:00:00 AM,0.43,r
ME96,NR5494SW,4/2/1998 5:00:00 AM,4/3/1998 5:00:00 AM,0.03,r
ME96,NR5494SW,4/3/1998 5:00:00 AM,4/4/1998 5:00:00 AM,0.00, 
ME96,NR5494SW,4/4/1998 5:00:00 AM,4/5/1998 5:00:00 AM,0.00, 
ME96,NR5494SW,4/5/1998 5:00:00 AM,4/6/1998 5:00:00 AM,0.00, 
ME96,NR5494SW,4/6/1998 5:00:00 AM,4/7/1998 5:00:00 AM,0.00, 
ME96,NR5494SW,4/7/1998 5:00:00 AM,4/7/1998 2:00:00 PM,0.00, 
ME96,NR5603SW,4/7/1998 2:00:00 PM,4/8/1998 4:00:00 AM,0.00, 
